day,strategy,benchmark
0,4999.385022532289,5000.0
1,4935.466075492466,4898.216071382274
2,4993.87928391279,4954.746771011069
3,5003.470745193517,4980.626553085563
4,4989.204692269184,4982.433425980549
5,5394.8073621657795,5407.7349556373765
6,5428.699337496319,5429.280803288605
7,5411.795766320058,5428.734238113249
8,5427.673788892686,5417.961553171016
9,5399.189492939456,5401.802047990905
10,5819.98921451741,5828.656362131097
11,5800.584829301168,5779.372761930954
12,5799.733909813056,5751.377932919008
13,5776.35635381885,5679.547758900526
14,5893.747587239872,5788.5082460419535
15,6315.410563727792,6216.419460931259
16,6332.698363728716,6200.025765499673
17,6366.01996887755,6198.593194896946
18,6287.320770605382,6102.831908239059
19,6327.6894697906855,6107.1312647896075
20,6738.429097179416,6516.984916317661
21,6741.597045908388,6549.815912745429
22,6724.639198195988,6532.541205953669
23,6771.403891688067,6579.783659377992
24,6708.69789654062,6512.595417702612
25,7155.674472724288,6959.93191095089
26,7193.22426167724,7018.6622450390605
27,7161.198848556725,6979.677251298229
28,7119.869964658644,6946.1612371746605
29,7127.279153386234,6950.110677072771
30,7429.401503650819,7288.85004907216
31,7457.985531573725,7340.275133707759
32,7396.176088903558,7299.349085834352
33,7304.107035471956,7203.675531437134
34,7364.161615699422,7266.77990927834
35,7764.239614542539,7655.101271770757
36,7751.027398296615,7645.492872440387
37,7655.83316655109,7529.396454091297
38,7624.730825783507,7486.77924568465
39,7680.59667533919,7562.971195674214
40,8099.127461007506,7982.866006384476
41,8008.6726124964625,7871.475924958491
42,8003.8099668624345,7852.077928158403
43,7861.115422937955,7739.512298846887
44,7933.810242871778,7820.777326931212
45,8330.825771136942,8194.52415249877
46,8368.704460786634,8240.19026028918
47,8268.31555838851,8093.030810616289
48,8169.594449634814,7955.029391882955
49,8116.572395062807,7928.432050354067
50,8689.506744260387,8558.895124102653
51,8736.672269741539,8623.381809436758
52,8771.64052761375,8631.146944239823
53,8806.422859951495,8671.94462673156
54,8814.33648161056,8675.76092500914
55,9407.592310679804,9296.728691917728
56,9465.602559327119,9350.362367334275
57,9463.02250927013,9344.174479715595
58,9531.984144401786,9435.489469697764
59,9614.430011829127,9550.459783726277
60,10045.322919670794,10025.822412857524
61,10068.942525356098,10050.458982798806
