day,strategy,benchmark
0,4999.376291224111,5000.0
1,5023.96219717742,5038.652799585092
2,5003.977775864131,5012.69067185631
3,5011.649980381789,5011.695557450619
4,5020.591122811778,5033.09489753156
5,5396.876710296487,5412.358279939339
6,5257.562099955992,5251.051202252925
7,5227.609814571797,5249.438020183748
8,5268.894379244,5312.490123349092
9,5301.726780661247,5344.302474405579
10,5736.599658893106,5803.70418972208
11,5741.21067512125,5804.091468659891
12,5700.58308625613,5742.994032651469
13,5655.537017051165,5677.457232522586
14,5656.122122295484,5656.802355839345
15,6051.409899976916,6042.903345071248
16,6114.360570261625,6118.459981443728
17,6122.69658102614,6153.706390050542
18,6086.219962370609,6084.145438445519
19,6083.326393062791,6093.032722677042
20,6417.818618080454,6400.008086266325
21,6434.809433951499,6409.931600805315
22,6460.6086132583805,6418.751213100941
23,6536.283526216636,6535.508843883811
24,6547.813235293406,6522.939923535892
25,6987.566210337917,6988.429248399043
26,7036.0600423523865,7052.397700913388
27,7023.927578446898,7092.041805033957
28,7042.065523965131,7130.752501840674
29,7022.675694567986,7109.935129103207
30,7348.526999684184,7409.36175826832
31,7361.31016949816,7473.026319712582
32,7333.69219711099,7439.525343468538
33,7387.818366467201,7479.45385929859
34,7318.679577359062,7439.647816534367
35,7668.626754292513,7789.582358137029
36,7721.368904836053,7841.837428004208
37,7767.2636301481125,7873.632968964294
38,7771.363815026904,7900.9994850714465
39,7719.700107135817,7828.676228445776
40,8173.889159585994,8281.842278283617
41,8190.3810027261825,8288.141732380269
42,8134.5302748098875,8261.440694982446
43,8215.552978871303,8348.662275089167
44,8218.775281206345,8348.251072500085
45,8672.816537735265,8772.759594649733
46,8696.658902267845,8793.419836516769
47,8706.91802146746,8756.836008827544
48,8597.314641886232,8607.058360828747
49,8563.052103282582,8567.893002294373
50,8943.173349413793,8925.283529827915
51,8940.405076361752,8929.787643758938
52,8844.54202486896,8787.250991852556
53,8943.01364467719,8924.381405005885
54,8820.00053743056,8768.027362913002
55,9159.00396168173,9064.241157227976
56,9226.205331252098,9161.662855721737
57,9108.273976354485,8999.03325309379
58,9185.602590019154,9049.470623168574
59,9050.699107100443,8808.432942795751
60,9373.7497477723,9135.207832901111
61,9387.953406954455,9183.685321013148
62,9319.074870967233,9061.26295083915
63,9467.80078099077,9248.430845981287
64,9549.753495073848,9319.747485661504
65,9898.697399834806,9619.01549212383
66,9967.11905689988,9723.775186448678
67,9954.0007535078,9695.657015643576
68,9921.982714096579,9698.855809248853
69,10038.315672689721,9872.547223189853
70,10418.012835411184,10296.279660047596
71,10360.965686022202,10173.359170017142
72,10324.710344551062,10146.342354639637
73,10211.83430190364,9942.012431396342
74,10254.759759482691,10008.750891067992
75,10673.9451419564,10437.020295211925
76,10719.774474389658,10503.070290565185
77,10300.44058073064,9985.469424449153
78,9799.132647257728,9400.890497659533
79,9729.73538572649,9384.145695342213
80,9978.264822021778,9637.164498831036
81,10591.953443321549,10649.25258782982
82,10297.59979843942,10182.613051264287
83,10418.338544541402,10364.29721897788
84,10489.578672477182,10464.848202585461
85,10886.133070441021,10835.53695994115
86,10748.436142630038,10594.684289834368
87,10822.86897527319,10609.800883775202
88,10682.828285062384,10357.258329721253
89,10855.807811442017,10626.732862567438
90,11345.538084205073,11191.396605175236
91,11487.572735235037,11426.964531680813
92,11509.495216496778,11509.528666573848
93,11523.646217473455,11513.917273456369
94,11574.85434564748,11586.44606705997
95,11995.206385828846,11991.046297444029
96,12013.877581347733,12076.02582246732
97,12156.750498821733,12255.283909120073
98,12103.692535683727,12185.008502416762
99,12017.00566447834,12083.160957503207
100,12442.112793553353,12533.977269086197
101,12502.47029176407,12621.31277590754
102,12523.80391580709,12605.229010725589
103,12768.935135792719,13021.800459431237
104,12800.961534988308,13107.795652487419
105,13177.890926298707,13524.546816704698
106,13239.39130479903,13590.606755095794
107,13316.708275174034,13676.687870770833
108,13332.665935600278,13691.64904718124
109,13292.805266111154,13645.615969871755
110,13476.259254887316,13815.67651428162
111,13444.165543288604,13821.127367323637
112,13399.020602911587,13726.788831816022
113,13625.892261577545,14012.176473984806
114,13545.4586854417,13931.111680207161
115,13961.109220867747,14386.103104990798
116,13953.44798423026,14370.011366400027
117,14000.99410229687,14450.956228240304
118,14092.306248383955,14533.364112240362
119,14102.796599431542,14529.464224981108
120,14488.026538120506,14859.245181978904
