date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype,archetype_at_entry,archetype_at_exit,decision_source
0,GPK,buy,7.695823289779434,15.129991409683228,116.43774026480295,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
0,TAK,buy,6.865608754631591,16.18262384719849,111.1035639582359,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
0,IRT,buy,6.486376486067532,17.08827650871277,110.84099493353469,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
0,CVX,buy,0.6594775715297188,163.38338521728517,107.74767811139978,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
5,MNRO,buy,4.092440273849086,20.008219844055176,81.8824446978379,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
15,GPK,sell,18.969967143924414,13.131241798400879,248.75048655892718,,trailing_stop,-35.13270107931973,15,False,defensive_income,defensive_income,defensive_income,archetype_rule
15,DVN,buy,1.6954931518580758,43.31463744049073,73.43967115556744,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
25,GPK,buy,4.362901313022497,12.040621755981446,52.53204446877869,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
27,MNRO,sell,12.614395595636502,21.6299991607666,272.4673770345894,,trailing_stop,5.466916795217003,22,False,defensive_income,defensive_income,defensive_income,archetype_rule
38,IRT,sell,33.82224285431223,15.630820274353027,527.9292621722116,,trailing_stop,-31.630422600935162,38,False,defensive_income,defensive_income,defensive_income,archetype_rule
40,GPK,sell,9.831592797808245,9.8100004196167,96.31290237073861,,trailing_stop,-12.914232175397188,15,False,defensive_income,defensive_income,defensive_income,archetype_rule
40,SD,buy,5.47443921009491,16.425425452423095,89.91999313923591,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
40,UBER,buy,1.1417075508602028,77.89890691680908,88.93777023067702,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
45,IRT,buy,5.432094439090561,14.949766799354554,81.20854509647458,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
45,INVH,buy,3.134811652483891,24.7431471988678,77.56510615813492,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
50,GPK,buy,7.2250593026953505,9.953915579795838,71.9176303580481,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
50,EXEL,buy,1.6165116397246952,42.950045388793946,69.42924829768938,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
55,SD,sell,5.47443921009491,14.962267875671387,81.7953518942162,,trailing_stop,-8.124641245019717,15,False,defensive_income,defensive_income,defensive_income,archetype_rule
55,CVX,sell,2.892377835081437,191.13931274414062,552.0731256376198,,trailing_stop,26.113598502517334,55,False,defensive_income,defensive_income,defensive_income,archetype_rule
59,DVN,sell,8.138543233824581,45.25,367.7535046166995,,trailing_stop,-6.5924727522680655,44,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule
60,MNRO,buy,6.702782973839207,16.593197694396974,111.22060298755201,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
