day,strategy,benchmark
0,4999.329377561983,5000.0
1,4976.685364047233,4974.237543168402
2,4984.056401774929,4973.249039673713
3,4985.006809015272,4994.485244859424
4,4960.480741340637,4973.908212464533
5,5239.287940097633,5225.667973693636
6,5213.438384645618,5224.063697181479
7,5259.152174029081,5286.809349403212
8,5288.218140118835,5318.468475464641
9,5319.998817149825,5377.583046882022
10,5725.338522616156,5777.940783377311
11,5680.525336927549,5717.119802957719
12,5638.245726660291,5651.877674451048
13,5632.732322270389,5631.316450289909
14,5640.542176748884,5617.479464546236
15,6104.143429674579,6087.717472542508
16,6125.89124873174,6122.787420604128
17,6081.598897651347,6053.574707884029
18,6077.046023468858,6062.418611113978
19,6015.42574092074,5969.861381652324
20,6431.471284834149,6379.1172956390255
21,6454.995399696278,6387.89450963126
22,6548.683407201678,6504.09017494869
23,6572.333085712265,6491.58167685975
24,6612.065886491741,6556.757535323179
25,7059.610140498148,7016.774003504308
26,7054.170982295102,7056.219294756569
27,7073.677540553308,7094.732291229374
28,7048.777508934017,7074.020793528434
29,6969.871373395152,6973.956168308745
30,7377.656048265084,7433.878802854431
31,7348.359746064316,7400.554083228252
32,7391.816476780154,7440.272671715416
33,7341.5902031834385,7400.675914717804
34,7301.978089430424,7350.872724683076
35,7741.409773492533,7800.184781525552
36,7753.299754569022,7831.811434267969
37,7790.375602700351,7859.030982576721
38,7775.292395300174,7787.093490245726
39,7842.914269185515,7839.977138239581
40,8238.77316418448,8245.939691296895
41,8228.412287352186,8219.37629883753
42,8302.01104616647,8306.152071994058
43,8309.747871036298,8305.742963190185
44,8361.213944378427,8330.127534947682
45,8775.482959495566,8749.744512974261
46,8763.260480922052,8713.34415839629
47,8628.766431865746,8564.30866097962
48,8575.745128441042,8525.336061821226
49,8544.676269223044,8482.939106819338
50,8954.052159922463,8887.22176145582
51,8859.549603183374,8745.36455798895
52,8955.106555515697,8881.840367748637
53,8844.918963109743,8726.231639289063
54,8793.545648986012,8622.940165131351
55,9260.579478164775,9115.617872237075
56,9123.423058110395,8953.805601576903
57,9194.336443726548,9003.990455276436
58,9042.808125117921,8764.164164456459
59,8979.324877379908,8691.309000110019
60,9393.912285977785,9137.42891938277
61,9321.367276667344,9015.62215401781
62,9473.371478462097,9201.84833398214
63,9545.090619748771,9272.805765891984
64,9488.548939575327,9172.581139428336
65,9955.443321736087,9672.478763787418
66,9938.976573582277,9644.508926478968
67,9907.941367429237,9647.689789230451
68,10023.85433230764,9820.465974354549
69,10005.923693539462,9844.07321404468
70,10351.979572174987,10126.551318435986
71,10308.153443231218,10099.657708532859
72,10197.410306506825,9896.267911806375
73,10243.261311989334,9962.70040583568
74,10264.241673658262,9990.839741823034
75,10709.448309984698,10454.06501344484
76,10241.270506161007,9938.8791156609
77,9869.41167218459,9357.029371333552
78,9820.928879197616,9340.362695174765
79,9678.7779512456,9194.066125019302
80,10616.331486573286,10559.62097292463
81,10345.39850450274,10096.909003565905
82,10462.81708384459,10277.065177528682
83,10529.429623697726,10376.767476698913
84,10526.423888564092,10347.704126377668
85,10791.063267694306,10517.695020458237
86,10834.735439129354,10532.701765394502
87,10662.890172548285,10281.995618448733
88,10849.505361283784,10549.509467950085
89,10948.869899030955,10712.977870133014
90,11429.203616685052,11338.475551307174
91,11453.300369624854,11420.400319893273
92,11468.669323279513,11424.754941954434
93,11503.841865509332,11496.723362070203
94,11509.728836609147,11501.286688452437
95,11943.858295868436,11982.794048396388
96,12118.510581908953,12160.670859442242
97,12033.754904648764,12090.93535019839
98,11934.406649395249,11989.87542271576
99,11976.336166548646,12040.299417518514
100,12395.479677499867,12524.19237695418
101,12407.676008712231,12508.23647702921
102,12667.197466602971,12921.601150344879
103,12713.78570447244,13006.934633144032
104,12731.004822168004,13023.556901584865
105,13207.968226335659,13487.168412742742
106,13273.435793707435,13572.597192763094
107,13270.328790553425,13587.443090819517
108,13238.65714043981,13541.75895714418
109,13029.763701592201,13313.569550857272
110,13398.006642329045,13718.825122861099
111,13342.176047510795,13625.18342674389
112,13559.31521706011,13908.460088013366
113,13486.686751306219,13827.99388166627
114,13479.105198691475,13882.57680858404
115,13867.605228643904,14267.051198380894
116,13912.834156412737,14347.416087295233
117,13991.85443456905,14429.232021379265
118,14008.597545436409,14425.358582574067
119,13993.033003629847,14355.64415599177
120,14503.296967566457,14903.061976692086
121,14550.224807254797,14916.493851432635
122,14614.676619893828,15001.065369605827
123,14578.266652038123,14958.283612400883
124,14624.080446102886,15017.731213501926
125,14884.167343357169,15249.833547044023
126,14985.584702049087,15394.921867713527
127,14867.906560972604,15263.370182494566
128,14877.742038196833,15261.070972978385
129,14844.948430612005,15225.231374436395
130,15300.319236978554,15775.616707976164
131,15526.607306705135,15949.893242744025
132,15462.481897514499,15958.83099877917
133,15572.580603900155,16083.689379567764
134,15641.872833091116,16163.598484394664
135,16110.85543355533,16640.879979554462
136,16156.266089391218,16635.495328333785
137,16255.05098404534,16710.91028647065
138,16324.151314198101,16842.615407029574
139,16155.90919714063,16717.10064597127
140,16586.673694579145,17107.946075761734
141,16664.336072952578,17210.536043131655
142,16762.668739353277,17259.073396271528
143,16711.46953082315,17198.403826753845
144,16765.07796871397,17231.22039412698
145,17125.92629439681,17557.586820624787
146,17191.61022493044,17616.285188946058
147,17338.538136018084,17724.09139285794
148,17260.61999250631,17711.110039643627
149,17269.229999393636,17744.693406657185
150,17653.755117251436,18147.23304781861
151,17814.70189451093,18301.619602972838
152,17788.524200986478,18307.680177154944
153,17850.299923339033,18385.018219326386
154,17836.535196467536,18380.40173858216
155,18219.28931476886,18731.92069763068
156,18181.235581311135,18708.331008999758
157,18018.410269072294,18638.151821448522
158,17756.023107694018,18332.663810919283
159,17994.679428313142,18611.31870944424
160,18327.318624155283,18916.959954920538
161,18356.819455710545,19061.855950961883
162,18386.800836380968,19045.891135673235
163,18439.71156618858,19194.40100221372
164,18395.284615431017,19156.445163774857
165,19033.721742238275,19760.385017334942
166,19140.985501630814,19828.027729052483
167,19117.334091172263,19829.87105066887
168,19012.17767184073,19783.443570285715
169,19027.217948912486,19779.141855671704
170,19303.16212464945,20071.8355562373
171,19238.158739217215,20018.50301054379
172,19180.596379297596,19938.194265011825
173,19521.523946136578,20244.380891710833
174,19457.000341517753,20155.284122881458
175,19933.153160230086,20639.673091051838
176,20005.97187722994,20686.70086032613
177,20081.670704007047,20759.959971803877
178,19941.768269123364,20636.154180420686
179,19800.51400879796,20483.23614797933
180,20234.667017329164,20994.244289562936
181,20415.401008644774,21169.702763713507
182,20495.005154706472,21108.390159446237
183,20547.06778918692,21160.245811917575
184,20524.206687586127,21209.16461011648
185,21027.0925520009,21670.475206964566
186,21287.287567279716,21850.56465496347
187,21235.597928455576,21843.251128729662
188,21304.295384837722,21959.54355845749
189,21277.629504901495,21929.309817318128
190,21677.084241208773,22302.064068859858
191,21991.72167363082,22406.267157261642
192,21952.80502657263,22517.24468550936
193,22069.716170943542,22623.773949536073
194,22118.18597519772,22500.622005260284
195,22373.35458878874,22829.03327358373
196,22343.05479910539,22723.711585911806
197,22452.77469892511,22853.899010141435
198,22499.059386097993,22918.126840968736
199,22551.04022372754,23004.45637114709
200,22997.447333995846,23482.84565333762
201,23380.275784539117,23509.891119148964
202,23528.844008974687,23509.543940071017
203,23612.09867678682,23593.854546217714
204,23459.177044101412,23506.38051331729
205,23976.260279774535,24046.55029235324
206,23876.72597242311,23976.88723466454
207,23313.653550547504,23328.844052930144
208,23667.861770167394,23686.803578584524
209,23674.12164627799,23657.866481214212
210,24278.4326694439,24162.89832061599
211,24096.871116092996,23998.342688000826
212,24115.45924845423,24134.564489213924
213,24174.295022964703,24385.57543346458
214,24092.832040111207,24385.20974932592
215,24356.97762758516,24658.43553162195
216,24534.787139968965,24804.657371252422
217,24793.092405208292,25007.375197344987
218,25037.415209987405,25302.4050083781
219,24962.1133336842,25369.608169679595
220,25369.5838829992,25781.793134103096
221,25185.8697438319,25498.241236937618
222,25517.096340184744,25581.88262327449
223,25521.071412503694,25629.89181207941
224,25209.524237361213,25326.08686576432
225,25919.606540631503,25813.851613591127
226,25637.850712344018,25536.88619812659
227,25625.368512132834,25562.027456193402
228,25935.484614535788,25960.908446772373
229,25956.710172733794,26020.336852618522
230,26362.86576397089,26434.81453178247
231,25956.579125522214,25996.154651867102
232,25936.958907291744,25991.902042323418
233,25739.554665179796,25749.74786493489
234,25677.43590218004,25533.515372855334
235,26134.825233131814,26032.156443917967
236,25751.548501466186,25635.36555082135
237,26047.61494194167,25890.725143160573
238,26429.18280621728,26271.797964025154
239,26663.45541844042,26518.9078593552
240,27196.52384258258,27101.983129025615
241,27321.146096883433,27249.916765526123
242,27146.57080651211,27125.509570356568
243,27202.34455548202,27175.7516907478
244,27385.454180782097,27269.85500846016
245,27745.32950741579,27689.79080378274
246,27723.336873960026,27742.388581581443
247,27614.795998525336,27659.04274736243
248,27598.996945544597,27635.168983824067
249,27788.533289616164,27818.452830999202
250,28199.755041582648,28283.184927808456
251,27863.971963232052,27979.082483178627
252,27853.515030432212,27936.81174459044
253,27762.266512859886,27860.48006104094
254,27449.366882970717,27553.91392258875
