day,strategy,benchmark
0,5000.0,5000.0
1,5027.422268838203,5012.6304358090565
2,5064.1824723195605,5044.619670428255
3,5112.187583199711,5085.2259313470895
4,5162.84328798988,5125.596109353606
5,5545.119517378338,5522.408990037302
6,5568.274566499835,5541.497856231693
7,5596.9914459091315,5582.729807211577
8,5608.552036385543,5595.07394068395
9,5555.89538805576,5558.041540266831
10,5960.185017657363,5958.041540266831
11,5980.352617589165,5984.6429850373415
12,5995.948376091781,6001.0131048961175
13,5998.510454853121,6001.831610889056
14,5967.796387419004,5962.134070231526
15,6426.990107362224,6420.520831061158
16,6444.166403988625,6432.741250017702
17,6422.10950925456,6414.265140404832
18,6324.911735849608,6325.085178257675
19,6306.707821163201,6306.900031000914
20,6688.223757715199,6678.385720102312
21,6736.354073822244,6736.726423978449
22,6693.667291117419,6707.323947223897
23,6652.715514829677,6662.601232581448
24,6649.6602339889105,6664.922480746281
25,7025.9815634919905,7061.0537338048925
26,7056.029400543423,7100.095895050259
27,6981.0962900640125,7017.254334424586
28,6921.506142244988,6965.9089711061
29,6877.074998995019,6912.759138150222
30,7287.415840861676,7316.039992036388
31,7331.237934786685,7363.760841130554
32,7309.444985948413,7343.804849691174
33,7394.974692947231,7425.537649412455
34,7302.516388899105,7322.6341457294
35,7735.330240550522,7774.172662751097
36,7791.434240726913,7823.567335511252
37,7899.8083298591655,7936.626253162274
38,7924.901860650572,7969.373091769933
39,7915.75096906278,7957.664724893452
40,8335.879171011851,8372.4831267215
41,8285.112223537799,8336.36419724116
42,8237.216235662869,8280.264583367445
43,8196.645568516173,8254.90448394508
44,8193.75764568639,8267.20028972562
45,8632.525234481189,8721.570805911448
46,8597.775039329597,8673.849231339693
47,8591.285845187213,8683.91707407635
48,8671.012958028692,8758.82182403708
49,8575.151586061633,8653.310832156913
50,8963.29311332904,9058.344753525242
51,8937.809524600707,9039.596086477248
52,8870.723994493845,8956.385710253004
53,8712.291217061807,8808.502965672196
54,8709.8431068628,8788.70100272263
55,9135.055999792867,9225.566359277675
56,9005.128969136013,9090.139140971056
57,9028.099483316388,9093.662450715618
58,9098.917129266183,9146.512096884055
59,9081.094710133706,9124.271204121505
60,9426.069732116459,9520.527687517908
61,9278.999487927234,9393.182756838374
62,9325.116875900401,9461.452512094369
63,9327.71759558328,9458.004544657197
64,9434.064996418518,9570.178418613175
65,9899.926402009714,10031.55223899483
66,9973.743222441537,10083.743794998287
67,10033.238211081876,10125.161864670756
68,9960.33101452536,10063.393876373084
69,9897.726417107366,10013.117606828471
70,10403.412862158559,10518.458362064806
71,10412.076213731612,10518.209486937936
72,10246.332811427084,10377.84391538284
73,10137.635051199748,10286.755618948151
74,10017.068992376398,10160.327054497817
75,10381.11301380008,10542.656920489995
76,10471.040496060377,10622.333475711837
77,10293.631237717234,10469.706308241428
78,10234.652324679642,10344.500292892819
79,10186.718540773549,10297.418692079913
80,10670.53271831865,10820.555186513668
81,10728.22286862708,10888.516073812907
82,10840.88542542771,11004.82858053453
83,11080.048635273171,11215.695365237701
84,11240.410938023104,11318.039626348414
85,11608.133111184705,11744.095776814922
86,11591.503117005721,11777.466795574075
87,11579.015832688066,11786.087642086855
88,11495.589216939818,11694.039248676192
89,11671.034456389472,11876.467484559562
90,12043.883572895382,12265.343811639845
91,12393.294710511873,12503.366280433942
92,12413.484461477748,12529.813221411065
93,12375.616577383731,12545.048959147884
94,12427.45083801082,12560.572163634457
95,12925.498742578284,13057.448458300654
96,12836.66994671668,13028.97953749493
97,12874.436086231486,13079.096700163342
98,12901.033580617152,13087.10358413995
99,12876.625214749582,13063.676034726906
100,13285.325155265475,13476.427738837803
101,13312.146992389395,13466.953438805964
102,13335.218087377018,13520.131768016936
103,13478.120893111382,13600.204884415065
104,13429.551829642349,13528.68920030376
105,13772.20635982628,13925.938597068709
106,13724.848244939043,13869.928992480096
107,13845.443116775894,13975.6549876586
108,13888.481141292486,14035.755181346382
109,13971.131110804125,14090.50614313525
110,14400.838435586953,14554.6969259222
111,14676.759614403842,14755.623183947226
112,14867.199475065285,14802.861885511884
113,14817.261883015006,14778.595429228668
114,14864.280738295009,14861.748486092487
115,15379.20230881081,15352.019703466049
116,15139.961848857203,15139.406256521137
117,15340.047196059975,15282.920333208953
118,15385.008606835225,15313.815724718135
119,15493.813427670771,15378.264175823311
120,15929.830661564954,15806.16969073483
121,15930.1399058846,15811.963866147069
122,15840.50307291402,15766.292130544729
123,15718.496304500897,15678.01616397006
124,15524.475256582442,15550.203471053066
125,15872.497844657733,15900.100895429605
126,15889.71026441269,15921.777924598562
127,16114.504015940089,16149.037101369879
128,16045.506556218634,16124.563036179123
129,16097.646255362013,16215.816336390375
130,16470.091234588715,16608.47411683315
131,16487.57720143494,16619.93836696233
132,16402.97490216687,16559.03453815106
133,16281.326940354686,16466.962279301082
134,16433.771704599785,16613.489726264666
135,17063.345077805192,17220.56274422298
136,17143.019563854796,17256.87370057488
137,17169.044960312705,17307.48897306541
138,17191.92517837197,17326.194617246692
139,17283.96454264078,17420.456392826876
140,17641.063073464247,17798.449752613604
141,17788.80076620757,17939.153409271632
142,17709.59444392772,17925.27064848137
143,17454.51334459571,17632.982252383765
144,17671.4806181827,17863.73624930293
145,18136.8596240315,18451.71633459805
146,18065.825076596913,18384.599659439467
147,18127.028656860715,18437.909475708286
148,18235.020273267368,18591.702542785955
149,18313.797930909386,18599.75654380499
150,18850.565469276273,19107.52674791677
151,18900.88789234445,19098.90881383882
152,18543.714857781462,18836.061824461398
153,18771.3071070345,19007.245333191553
154,18949.733369626083,19138.47296574213
155,19247.011275511675,19442.892242332156
156,19124.598688054364,19336.10491736347
157,19114.978095106384,19353.302876066293
158,19514.434236841662,19754.05530909484
159,19502.740132092997,19767.65369504591
160,19878.41367519863,20095.26228748287
161,19934.732159047384,20132.397143874732
162,19873.838744703273,20105.872246451974
163,20004.637876873043,20178.101582510873
164,20275.08779917225,20367.856617919846
165,20698.86717354716,20745.820549291708
166,20494.64731687119,20538.603680714
167,20678.535062589184,20642.628213132528
168,20937.876426610666,20847.34849293219
169,20768.7417289932,20722.519054029955
170,21079.29644069304,21104.626834453968
171,21291.40498588344,21331.540063345885
172,21230.535092389608,21298.033250107637
173,21075.974317825978,21256.043699340724
174,20963.265183964573,21110.140613847605
175,21423.912679492125,21635.68512927192
176,21481.633826454818,21755.81616038835
177,21730.061419107173,21957.1868816123
178,21889.885198160548,22029.78405149561
179,21793.296795626884,21987.867828408223
180,22138.97602393331,22327.370186838798
181,22065.466755120673,22286.009352880166
182,22287.517990792585,22473.01312343781
183,22324.27298548369,22469.053043590706
184,22287.55165161467,22429.892253991577
185,22484.449301741246,22687.329379495866
186,22547.344472506527,22711.96420370562
187,22266.712823590286,22434.710454872245
188,22432.505273786694,22669.41314370696
189,22492.45891282505,22681.954508759194
190,22956.466004654714,23108.380956547837
191,22592.190066285166,22876.836793429702
192,22760.951869209017,23049.583324574924
193,22375.530820584423,22731.437998085836
194,22115.01604292851,22446.56575015506
195,22432.662034644458,22805.544146453027
196,22238.299655315543,22670.53970463156
197,22152.380647977527,22624.14642565511
198,21977.481593740136,22426.511057215437
199,22202.92291227576,22632.961148660637
200,22880.03673709468,23301.578233934277
201,22888.29570613267,23290.721409135225
202,22845.506624863763,23201.978667299478
203,23057.408972110028,23421.947378445526
204,23182.889378111635,23505.025689951326
205,23186.731145922426,23532.589395757703
206,23063.45186799168,23456.237893616628
207,23357.516233759754,23675.688437506382
208,23669.373634799784,23969.08949290384
209,23899.301356151962,24216.391528140655
210,24307.027401652595,24643.282623234365
211,24265.28017929966,24645.72322881049
212,24430.929027135036,24787.766473340875
213,24456.50242825782,24819.494345830484
214,24504.047169781137,24822.911193637057
215,25094.647782193293,25336.643413484413
216,25433.83270878201,25650.580330522716
217,25360.386656585895,25597.513584672637
218,25367.681003661448,25634.70990185727
219,25441.28404006529,25663.971004709183
220,25853.76104088045,26126.95676847516
221,25746.76470789037,26051.91114719084
222,25556.209258208124,25861.526953597066
223,25761.39705013182,26032.7719954539
224,25800.668797230544,26050.903823415214
225,25909.7883972579,26268.578220026462
226,25896.346668752096,26094.173804749717
227,26076.915730474542,26331.486557501656
228,26109.833135726003,26352.96745322489
229,26044.490375000947,26382.631547318884
230,26823.580640057444,27096.15033489849
231,26802.74624497676,27095.631221724652
232,26673.42781669338,27062.927091772766
233,26790.12434486711,27146.50431276092
234,26740.863368153732,27211.912572664693
235,27453.282766932698,27835.13123741566
236,27468.718545875712,27891.486186183938
237,27401.04441712087,27908.340002638
238,27612.25792482647,28130.599707125977
239,27739.565928361328,28201.70174529156
240,27978.97384317391,28525.33288948408
241,27902.52860740229,28486.872486719283
242,27829.963509867113,28394.46068563165
243,27914.63627804557,28503.965999059197
244,27866.838325666973,28539.221368260256
245,28302.386842206637,28984.09183815252
246,28346.03604463171,28870.345892720514
247,28337.667024986516,28929.927102232516
248,28484.213346908415,29124.378504185326
249,28661.908312656517,29254.37387039333
250,29136.012376860283,29822.82619910454
251,29238.251633892567,29857.413891719618
252,29237.095399168422,29886.511474395793
253,29585.811987509664,30182.42840010256
254,29542.429001425167,29922.19718899865
255,30186.86680607646,30510.507959902956
256,30265.749196417037,30594.50990542115
257,30558.473706961442,30775.865099056457
258,30029.78497383903,30344.729285966387
259,29792.47192525789,30111.63779476027
260,29931.044257283196,30311.368255776495
261,30344.917350480177,30623.682234605916
262,30267.98428334803,30575.76402485772
263,29589.999630590242,29882.923086263218
264,29508.798949959484,29727.329840492606
265,30314.99935596559,30459.938590509497
266,30237.249379222398,30478.21843813142
267,30078.028977265756,30323.41097858324
268,30658.15181197983,30816.39561913704
269,29972.190971298736,30379.964257163574
270,29659.591663269697,30214.43147136025
271,28856.738389746602,29334.489414407704
272,29171.176730654595,29604.84003322141
273,28908.341980360357,29407.431979655084
274,29602.62620699288,30087.071436801332
275,30068.528972492626,30619.64165459221
276,30055.252884880687,30635.47909687634
277,30577.19410940531,31139.34439028633
278,30644.892571486977,31237.888475609816
279,31189.30323289874,31773.428653588067
280,31672.519366442957,32244.40385789844
281,32004.3815544923,32552.658671990604
282,31838.53432386199,32499.798019863047
283,32035.943228022094,32611.458723233616
284,31726.507087418995,32355.470621357465
285,32662.814199942648,33099.361830142356
286,32521.226101090157,33020.60392623266
287,32559.31068920868,33065.6943292344
288,32339.37286878204,32873.909815133666
289,32346.07211424288,32876.91584200045
290,33064.32902847678,33590.74504689255
291,32212.65361693208,32899.54490246757
292,32139.924196584285,32832.00686018661
293,32056.93332969666,32752.299801278445
294,31477.607060730472,32201.04334806627
295,32236.56020283882,32961.2462402314
296,32374.823748969495,33104.75685172302
297,32734.12313892329,33444.7476566302
298,32962.08986642564,33726.22555127256
299,33263.73969450271,33902.380207438226
300,33709.858710774395,34352.88608787734
301,33718.34700638924,34366.59608323214
302,33613.55479788169,34265.01748128522
303,34251.722943583925,34849.56182868529
304,34079.51360530565,34789.11321280277
305,34584.04966304186,35276.35863778785
306,34817.58724725847,35377.211266788945
307,34647.61953967138,35299.0504793131
308,34974.33883847219,35438.98350205211
309,34927.92183376748,35387.9268586203
310,35376.457671306154,35929.75086815309
311,35049.9939978453,35607.85110076407
312,35159.89068217,35622.51188224911
313,35042.71755312045,35557.49450348935
314,35360.168061342134,35880.66912144229
315,35526.19154119396,35956.21965292543
316,35654.42482774916,36296.56643725602
317,35839.12195936985,36547.958948409294
318,35772.91562792994,36484.14392634731
319,36110.106109618544,36702.66203219593
320,36762.1642227386,37402.39925703252
321,36322.91125150677,37111.801562296336
322,36583.08265148722,37273.38951811376
323,36609.082515849565,37276.64733980363
324,36766.09417788951,37419.99149415781
325,36943.12572442222,37758.092882050325
326,36911.210321020284,37738.33665932007
327,36629.6424689233,37393.261302298415
328,36751.066191508195,37474.26181549242
329,36746.19944586952,37461.09100033893
330,37275.78793697731,37976.994173689716
331,37315.861358649876,38038.89039804879
332,37154.11938707075,37923.75010972491
333,36518.15008819817,37180.32986661646
334,36580.067610253565,37337.399855312615
335,37016.96097974494,37656.86820856586
336,37496.42327366519,38112.28362822678
337,38151.45908671826,39059.440069707714
338,38529.66820565288,39361.480724697016
339,38516.06961746187,39532.345594111895
340,38929.0547505852,39970.01658894353
341,38570.81630948302,39845.66874820476
342,38446.71578182555,39865.37414373167
343,38209.799377471354,39608.52450548437
344,37745.744788980504,39101.620192964576
345,38378.41965170208,39661.301846372284
346,38533.24711830775,39806.82271849812
347,38610.34786799022,39819.8646834528
348,38893.63595047248,40034.02747639271
349,39074.492213126265,40157.582933858044
350,39646.65388791734,40694.180356278055
351,39717.91195160791,40906.30974180191
352,39740.34201535567,40782.91421688934
