date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype,archetype_at_entry,archetype_at_exit,decision_source,cluster_id,cluster_decision,cluster_block_reason
50,VIV,buy,9.364528766927315,8.501886,79.6161560201366,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,5,,
50,QFIN,buy,1.9885224306750342,40.025958,79.59251529225683,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,0,,
50,TS,buy,2.146339217268566,36.93163200000001,79.26781011933075,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,2,,
50,FHI,buy,1.9617088669158311,39.575328000000006,77.63527184870237,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,2,,
50,SU,buy,2.0414834940169317,37.342206000000004,76.23349717918005,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,2,,
50,VOD,buy,8.748241883176107,8.672124,75.8658383928967,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,5,,
50,ABEV,buy,34.8472978756156,2.173038,75.72450248103198,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,0,,
50,NTES,buy,0.7146282344049212,103.39455000000001,73.88866471359135,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,2,,
55,FHI,sell,1.9617088669158311,34.62,67.8192808672644,,trailing_stop,-9.815990981437977,5,False,defensive_income,defensive_income,defensive_income,archetype_rule,2,,
55,TS,sell,2.146339217268566,28.7,61.51369562585799,,trailing_stop,-17.754114493472755,5,False,defensive_income,defensive_income,defensive_income,archetype_rule,2,,
55,TIMB,buy,3.8093496449536253,12.978144000000002,49.43828823855703,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,2,,
55,GFI,buy,2.1225807995834893,19.447188000000004,41.27822785469045,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,5,,
55,HMY,buy,3.221536605826615,12.647682000000001,40.74497054185438,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,2,,
55,GHLD,buy,2.7452639694426595,13.398732000000003,36.78305619581839,buy,,0.0,0,False,speculative_momentum,speculative_momentum,,archetype_rule,1,,
55,MO,buy,0.6977292748448582,51.982674,36.26983343451667,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,5,,
55,WTFCP,buy,1.4694912266305062,24.514272000000002,36.023507631233876,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,1,,
55,SCCC,buy,1.553791283716072,23.08227,35.86502993438098,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,1,,
60,ORI,buy,0.8713804164570995,34.428132000000005,30.0,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,2,,
60,CALM,buy,0.3388154118728238,88.543788,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,2,,
60,SKM,buy,1.3979495435275353,21.460002000000003,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,0,,
65,XP,buy,2.00822947013898,14.938531898908865,30.0,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,5,,
75,FMX,buy,0.31083928369597813,96.51289773702487,30.0,buy,,0.0,0,False,speculative_momentum,speculative_momentum,,archetype_rule,0,,
80,MO,sell,0.6977292748448582,52.63,36.66878695539603,,trailing_stop,0.39895352087935976,25,False,defensive_income,defensive_income,defensive_income,archetype_rule,5,,
80,XP,sell,2.00822947013898,18.72,37.51943170782436,,take_profit,7.5194317078243635,15,False,defensive_income,defensive_income,defensive_income,archetype_rule,5,,
80,SBS,buy,7.544484018790546,3.9764150769331597,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,4,,
80,PLYM,buy,1.8992569437473756,15.79565108279018,30.0,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,4,,
115,TLK,buy,1.8041214239781553,16.6285925111675,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,1,,
120,APAM,buy,0.7023336328656816,42.71474210567583,30.0,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
125,PLYM,sell,3.7821152971488843,15.35,57.97112555805098,,trailing_stop,-2.0288744419490214,45,False,defensive_income,defensive_income,defensive_income,archetype_rule,4,,
125,ING,buy,1.383031930945904,21.691473153104965,30.0,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,4,,
130,HMY,sell,3.221536605826615,13.61,43.75503853736903,,trailing_stop,3.010067995514653,75,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule,2,,
130,ORI,sell,0.8713804164570995,32.99,28.707901630703397,,trailing_stop,-1.2920983692966033,70,False,defensive_income,defensive_income,defensive_income,archetype_rule,2,,
130,QFIN,sell,1.9885224306750342,32.21,63.93763705166972,,trailing_stop,-15.654878240587117,80,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule,0,,
135,SSY,buy,26.72037369603565,1.122738788808591,30.0,buy,,0.0,0,False,speculative_momentum,speculative_momentum,,archetype_rule,4,,
140,SIGA,buy,3.5682995973154106,8.407365800385799,30.0,buy,,0.0,0,False,legacy_turnaround,legacy_turnaround,,archetype_rule,0,,
150,SIGA,sell,7.362563066064031,7.7,56.57129005313215,,trailing_stop,-3.4287099468678477,10,False,legacy_turnaround,legacy_turnaround,legacy_turnaround,archetype_rule,0,,
155,GFI,sell,2.1225807995834893,33.33,70.61393145442584,,take_profit,29.33570359973539,100,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule,5,,
160,SIGA,buy,5.278906829935384,7.7664133366967825,40.9981724071899,buy,,0.0,0,False,legacy_turnaround,legacy_turnaround,,archetype_rule,2,,
160,TIGO,buy,0.9196515347258127,44.17136962938369,40.622267870603864,buy,,0.0,0,False,speculative_momentum,speculative_momentum,,archetype_rule,3,,
160,STNG,buy,0.6711555514453508,56.18797671926388,37.71087249961608,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
160,OMF,buy,0.633401542903326,57.672609858009146,36.52992006732456,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
170,GNTY,buy,0.6065224946155177,49.46230398102115,30.0,buy,,0.0,0,False,value_recovery,value_recovery,,archetype_rule,0,,
175,APAM,sell,0.7023336328656816,40.15,28.15706177478128,,trailing_stop,-1.8429382252187239,55,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
175,OMF,sell,0.633401542903326,53.43,33.79394501188748,,trailing_stop,-2.7359750554370805,15,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
175,STNG,sell,1.1890576865981988,55.02,65.30232608482459,,trailing_stop,-2.4085464147914877,15,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
175,GMAB,buy,0.9765264658225334,30.721133579038067,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,0,,
180,ING,sell,1.383031930945904,23.57,32.55246118433187,,trailing_stop,2.5524611843318716,55,False,defensive_income,defensive_income,defensive_income,archetype_rule,4,,
180,SIGA,sell,16.482124407747744,7.47,122.8490293304206,,trailing_stop,-8.149143076769278,20,False,legacy_turnaround,legacy_turnaround,legacy_turnaround,archetype_rule,2,,
180,TSM,buy,0.10230229738207279,293.2485463934178,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,5,,
180,B,buy,0.9167167744977668,32.72548385125365,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,5,,
180,BHP,buy,0.5532923750091389,54.2208809573862,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,5,,
180,NEM,buy,0.34699054273986296,86.45768776035735,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,5,,
180,GFI,buy,0.7319355815879667,40.98721356722906,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,5,,
190,CALM,sell,2.595498270228303,87.66,227.12383900914185,,trailing_stop,-19.50292817947488,130,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule,2,,
190,STNG,buy,0.5364157338716223,55.926771169578984,30.0,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
190,EFXT,buy,2.6667972106848854,11.249449294382385,30.0,buy,,0.0,0,False,legacy_turnaround,legacy_turnaround,,archetype_rule,5,,
195,CGAU,buy,2.747041913713184,10.92083810233857,30.0,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,5,,
200,WFRD,buy,0.4110903028653486,72.97666666154957,30.0,buy,,0.0,0,False,legacy_turnaround,legacy_turnaround,,archetype_rule,5,,
210,WFRD,sell,0.4110903028653486,71.03,29.14910674250088,,trailing_stop,-0.8508932574991199,10,False,legacy_turnaround,legacy_turnaround,legacy_turnaround,archetype_rule,5,,
210,PNFPP,buy,1.189065875076827,25.229888964782262,30.0,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,5,,
215,STNG,sell,0.5364157338716223,58.17,31.150294179723304,,trailing_stop,1.1502941797233035,25,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
215,APA,buy,1.2633499454766899,23.746389594911754,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,2,,
215,NRDS,buy,2.0411125737456617,14.697866441019844,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,2,,
225,CGAU,sell,10.38332000438307,13.76,142.5992057444052,,take_profit,22.599205744405197,30,False,defensive_income,defensive_income,defensive_income,archetype_rule,5,,
225,EFXT,sell,5.053134633209816,15.6,78.6948036244663,,take_profit,18.694803624466303,35,False,legacy_turnaround,legacy_turnaround,legacy_turnaround,archetype_rule,5,,
225,HMY,buy,1.5178170449851067,19.765228028714336,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,4,,
225,ERIC,buy,3.1718485667890577,9.458206899949753,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,4,,
225,TS,buy,0.7494104532905206,40.03146722637192,30.0,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,4,,
240,SYF,buy,0.3567721685331964,84.08727654777424,30.0,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,0,,
240,BFH,buy,0.3999792812586111,75.0038849652394,30.0,buy,,0.0,0,False,speculative_momentum,speculative_momentum,,archetype_rule,0,,
