day,strategy,benchmark
0,5000.0,5000.0
1,5056.762698984928,5045.75241070216
2,5062.015265083302,5074.103626239305
3,5083.02703237415,5101.860654624474
4,5067.79974839856,5086.9210919462175
5,5387.443992043101,5415.0244465571095
6,5406.203180776106,5461.493148752476
7,5386.520404934108,5437.021465347817
8,5428.145495258056,5466.167515245502
9,5400.831325917201,5437.113119592777
10,5760.059054283051,5800.543075853229
11,5801.852012497398,5839.427968254532
12,5847.175137142355,5863.152674757607
13,5856.6061723452585,5883.530327231201
14,5808.669401090007,5829.58369169724
15,6247.798616874854,6269.256126223128
16,6252.0861364891425,6273.987957720084
17,6228.306480663663,6253.7988099997365
18,6289.908972363565,6319.83414733504
19,6290.632433010776,6319.51869190191
20,6720.791858225611,6738.025410645562
21,6726.20477338151,6753.899315387356
22,6719.689300353779,6725.840511935311
23,6617.308625869916,6610.810596588081
24,6578.795622290823,6580.73960802792
25,6961.561772261889,6947.985705990274
26,6972.282820855657,6951.425596480649
27,6861.8113945483765,6840.51878239442
28,6935.701705291876,6947.274004509508
29,6841.385758066626,6825.573051298306
30,7193.487074632515,7144.794933231225
31,7276.352206043079,7221.567992641802
32,7153.20306770607,7093.403474476844
33,7208.534562062386,7133.109344810303
34,7049.2298231696595,6943.124294354012
35,7403.779348052194,7285.450261179781
36,7438.648387909459,7324.006058393951
37,7358.276588154743,7226.4200061346355
38,7498.352837986095,7375.72400707089
39,7569.780943397265,7432.627045718011
40,7910.093760369252,7752.191675667759
41,7970.264449440614,7836.722807321062
42,7945.906833323412,7814.0129510559955
43,7918.072815792981,7816.536268418781
44,8038.914866662541,7956.580382053358
45,8427.061278916983,8375.64544657218
46,8347.974637020143,8275.686518421187
47,8315.04566626054,8253.604280979878
48,8191.818725052987,8087.39864050496
49,8213.84206597463,8141.720944610579
50,8631.3970608708,8564.686471549541
51,8682.5770002582,8618.890415789889
52,8290.178830393928,8194.215638978052
53,7821.315748923971,7714.56478196803
54,7748.407388317428,7700.820761918483
55,8001.8770224026475,7980.058698112354
56,8713.26643334545,8818.139630958827
57,8415.259643559828,8431.85829314249
58,8566.380704011373,8582.241389725028
59,8655.269612524402,8665.480465887473
60,9059.283320520079,9041.256594113636
61,8917.530752728013,8840.19613930023
62,8963.902947326913,8852.953782372146
63,8803.31764145535,8642.19751882408
64,8997.960781122674,8867.072240705065
65,9506.388427995067,9404.34448015889
66,9692.379467705216,9602.433534572363
67,9729.945557106583,9671.720289030885
68,9751.036093135006,9675.451114270962
69,9795.97152028244,9736.38792652551
70,10201.801616811947,10140.296410110348
71,10230.355960127892,10212.05862159984
72,10400.778092716817,10363.721027325051
73,10357.032579504421,10304.35074410823
74,10295.543523790482,10218.162108659513
75,10720.831013456249,10661.071472230547
76,10781.282191419543,10735.438974524266
77,10795.239071801845,10721.795324232655
78,11078.200188265733,11075.953739548737
79,11154.728679170647,11149.16825731077
80,11539.347399822716,11563.388399868225
81,11623.855427359178,11619.918486205004
82,11683.060630407532,11693.566838122642
83,11694.795884072448,11706.306012508396
84,11680.900346301558,11666.89419175247
85,11892.764411419892,11870.432236772182
86,11879.3214847924,11874.964036813986
87,11833.787805622458,11794.00960879449
88,12055.498632790514,12039.13879287388
89,11977.383693827307,11969.513864958893
90,12429.225348498738,12416.685783575851
91,12381.536519442008,12402.850680450296
92,12467.324212729081,12472.664739299255
93,12550.189844784205,12543.968732330966
94,12576.816587351153,12540.563168484674
95,12948.673004001634,12879.901562472623
96,13053.99995922207,13012.142804445719
97,13103.744096223978,13024.004975652608
98,13194.893980626372,13097.814040939917
99,13171.620825114791,13060.470168621932
100,13619.621083671567,13512.312250192781
101,13464.518463024477,13361.322783256752
102,13594.714636033996,13488.316922613743
103,13481.411553105887,13373.094076031373
104,13508.366075441329,13371.056736897304
105,13867.604174501905,13739.591165826678
106,13985.599122438325,13875.289680259735
107,14159.657912393215,14028.70827561532
108,14093.925408553703,14036.402521279051
109,14211.045137074872,14146.220391206834
110,14647.12242256995,14616.634396977937
111,14720.442583069658,14686.392664592338
112,14753.56982876087,14681.838001071124
113,14866.503006408873,14748.24020082779
114,14955.107774729498,14864.503980185127
115,15200.625493851981,15153.753740879787
116,15252.141436826672,15145.382317437323
117,15318.966486392788,15236.236883621714
118,15361.53339009186,15279.32509251675
119,15300.359056276528,15225.649495150363
120,15719.657237469637,15654.703258862444
121,15645.623117800964,15587.74450807804
122,15706.315205742798,15639.795461517993
123,15800.685178057003,15735.559108866253
124,15762.073864015443,15723.936080428206
125,16196.561751610101,16153.75167511711
126,16218.7513968025,16156.083486323181
127,16380.959632111892,16293.660347481311
128,16305.407832100465,16298.842150161468
129,16322.59319522819,16367.760125807537
130,16672.164647920854,16763.614683663414
131,16692.022813748004,16719.554389837005
132,16646.82662477546,16698.320513294162
133,16484.531433677832,16635.680577492763
134,16284.764226833946,16363.090687373979
135,16929.804405178602,17011.792466382063
136,16911.554928173235,16925.627218373837
137,16973.997435908717,17055.282812379908
138,17029.04076788721,17040.87663526812
139,17105.367657221126,17173.794005224037
140,17466.4453024958,17539.817172413223
141,17697.52319766524,17726.461277313378
142,17812.006274301915,17787.377907675727
143,17754.57392794269,17789.046856452776
144,17710.659181825784,17747.32313702651
145,18105.284586696194,18143.428923213392
146,18021.66846744828,18045.016557328494
147,18007.811111695253,17996.948089598587
148,17961.25308854157,17924.987602405294
149,18299.56006211593,18200.030255037367
150,18612.962087897977,18520.10576135628
151,18668.367955610178,18597.43396912812
152,18724.4129985595,18639.87727113823
