date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype,archetype_at_entry,archetype_at_exit,decision_source
0,DVN,buy,4.887676534711289,33.47178659591675,163.59926591972615,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
0,GPK,buy,5.683400875168457,28.380245338439945,161.2963111939851,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
0,CVX,buy,1.0551076264381352,146.70642937316896,154.79107247913822,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
5,DVN,sell,4.887676534711289,30.099580764770508,146.91105078816403,,trailing_stop,-16.688215131562117,5,False,defensive_income,defensive_income,defensive_income,archetype_rule
5,CVX,sell,1.0551076264381352,135.12522888183594,142.37205919409928,,trailing_stop,-12.419013285038943,5,False,defensive_income,defensive_income,defensive_income,archetype_rule
5,GPK,sell,5.683400875168457,26.666215896606445,151.3426180515342,,trailing_stop,-9.953693142450902,5,False,defensive_income,defensive_income,defensive_income,archetype_rule
5,BDX,buy,0.9491558617843437,171.58635111694338,162.8621909648334,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
5,IRT,buy,8.445251656539842,19.168384524536133,161.88183115903146,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
5,UBER,buy,2.5174026072436195,61.315721541595465,154.35635727383618,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
10,C,buy,1.7599242429681214,68.83501908874513,121.14441885945595,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
15,DVN,buy,3.3202055883641255,32.88451689834595,109.18335677654274,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
15,GPK,buy,4.116755367447954,25.66679796867371,105.66392830273975,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
15,CVX,buy,0.7424357809122153,138.855029196167,103.09094203484472,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
17,IRT,sell,15.024883107357468,17.878311157226562,268.24346794488196,,trailing_stop,-20.381786163771267,12,False,defensive_income,defensive_income,defensive_income,archetype_rule
28,DVN,sell,8.987790721465384,34.80324172973633,312.36632714110743,,trailing_stop,1.312995423222219,13,False,defensive_income,defensive_income,defensive_income,archetype_rule
28,BDX,sell,0.31322143438883343,186.1497344970703,58.22445832868249,,trim_exit,4.479935310287473,23,True,defensive_income,defensive_income,defensive_income,global_rule
29,BDX,sell,0.20985836104051842,190.16404724121094,39.85164476147623,,trim_exit,3.842814339151566,24,True,defensive_income,defensive_income,defensive_income,global_rule
30,BDX,sell,0.14060510189714734,190.45460510253906,26.741398712403353,,trim_exit,2.615482329445829,25,True,defensive_income,defensive_income,defensive_income,global_rule
33,CVX,sell,2.915221561799013,139.9176483154297,407.3198979220085,,trailing_stop,-15.069580222254956,18,False,defensive_income,defensive_income,defensive_income,archetype_rule
35,GPK,sell,12.78735901080525,25.67929458618164,327.9106405151075,,trailing_stop,-7.30619788012109,20,False,defensive_income,defensive_income,defensive_income,archetype_rule
35,DVN,buy,5.313438442157354,33.35942018280029,177.25322560737098,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
37,BDX,sell,1.2060649072790297,173.7321014404297,209.23884574800164,,trailing_stop,-10.626250428585848,32,False,defensive_income,defensive_income,defensive_income,archetype_rule
40,IRT,buy,7.962354122691982,19.238699961090088,153.18534195041974,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
45,TAK,buy,8.436859592316821,13.449310370635986,113.46994321054632,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
46,UBER,sell,3.082086894184985,81.26000213623047,250.0997570628721,,trim_exit,44.31388605491202,41,True,quality_compounder,quality_compounder,quality_compounder,global_rule
47,UBER,sell,2.06499821910394,78.88999938964844,162.67963745319233,,trim_exit,24.803103877859087,42,True,quality_compounder,quality_compounder,quality_compounder,global_rule
48,C,sell,5.8286004143026116,76.18961334228516,443.45710155574966,,trailing_stop,7.3725218412934055,38,False,defensive_income,defensive_income,defensive_income,archetype_rule
48,UBER,sell,1.3835488067996398,76.41999816894531,105.58277416607977,,trim_exit,13.205496670606493,43,True,quality_compounder,quality_compounder,quality_compounder,global_rule
49,DVN,sell,8.487997775773396,34.7258186340332,294.3400175877255,,trailing_stop,1.4935945385316813,14,False,defensive_income,defensive_income,defensive_income,archetype_rule
49,UBER,sell,0.9269777005557586,74.94999694824219,69.37970806158383,,trim_exit,7.486932139616741,44,True,quality_compounder,quality_compounder,quality_compounder,global_rule
50,UBER,sell,0.6210750593723582,75.87000274658203,47.054997107369836,,trim_exit,5.586837239651892,45,True,quality_compounder,quality_compounder,quality_compounder,global_rule
50,CVX,buy,1.5612074805623857,147.3176048675537,229.99334673775857,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
58,UBER,sell,6.588940254241705,73.05999755859375,480.714015746175,,trailing_stop,-9.67163339270462,53,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule
60,DVN,buy,5.517552358715587,33.679252851104735,185.8270410083916,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
65,AMGN,buy,0.48410926261294546,304.3003351847045,147.31461087913945,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
67,IRT,sell,43.12267670211361,19.745195388793945,850.2260958370568,,weak_value,-4.31050434108397,27,False,defensive_income,defensive_income,defensive_income,global_rule
