date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype
0,M,buy,5.9101070557966215,21.5269923992157,127.22682966868496,buy,,0.0,0,False,defensive_income
0,KSS,buy,6.387022542075129,18.462399510955812,117.91976185727161,buy,,0.0,0,False,defensive_income
0,PBR,buy,8.796824891714797,12.633681675910951,111.13628544065456,buy,,0.0,0,False,defensive_income
0,PFE,buy,4.416344363612329,24.852497692108155,109.75718810423027,buy,,0.0,0,False,defensive_income
5,DHT,buy,6.6525384061856645,12.867331425476076,85.60041649309933,buy,,0.0,0,False,defensive_income
23,DHT,sell,2.661015362474266,16.84039306640625,44.74980709728841,,harvest_exit,10.509640500048675,18,True,defensive_income
24,KSS,sell,21.868668849720247,17.961315155029297,392.24014715627425,,trailing_stop,-2.700201521014776,24,False,defensive_income
24,DHT,sell,1.5966092174845594,16.917598724365234,26.972978949341123,,harvest_exit,6.428878990997283,19,True,defensive_income
25,M,sell,20.19491056262192,20.59707260131836,415.37370058080506,,trailing_stop,-10.373014959440638,25,False,defensive_income
25,DHT,sell,0.9579655304907355,18.046724319458008,17.263936440538817,,harvest_exit,4.937476465532516,20,True,defensive_income
25,EQR,buy,1.558306171194095,62.887365330505375,97.9977694846641,buy,,0.0,0,False,defensive_income
30,DG,buy,0.5144157800919966,152.53094803161622,78.46432661985565,buy,,0.0,0,False,quality_compounder
33,DHT,sell,12.131307827240246,17.438732147216797,211.2584513157647,,trailing_stop,-3.138701695161444,28,False,defensive_income
35,M,buy,5.376479984592162,17.81373416519165,95.77518518999848,buy,,0.0,0,False,defensive_income
35,KSS,buy,6.105853777876212,14.456594183921815,88.2698502131223,buy,,0.0,0,False,defensive_income
36,PBR,sell,12.18445641350411,18.879291534423828,229.71185735227763,,harvest_exit,54.26339235302538,36,True,defensive_income
37,PBR,sell,7.310673848102465,18.859407424926758,137.68195168480852,,harvest_exit,32.412872685257184,37,True,defensive_income
39,PBR,sell,4.386404308861479,19.058242797851562,83.4801223061654,,harvest_exit,20.318674906434595,39,True,defensive_income
40,DG,sell,0.5144157800919966,130.3120574951172,66.94073030154738,,trailing_stop,-11.523596318308279,10,False,quality_compounder
40,PBR,sell,2.6318425853168876,19.39626121520996,50.976439193352896,,harvest_exit,13.07957075351441,40,True,defensive_income
40,DHT,buy,6.998177189646184,16.32277530555725,114.22967381507078,buy,,0.0,0,False,defensive_income
43,EQR,sell,4.125541172216346,57.286216735839844,236.0057744401745,,trailing_stop,-19.726914651720676,18,False,defensive_income
45,KSS,sell,15.254292714503492,12.350000381469727,188.12677411398857,,trailing_stop,-15.254137682977557,10,False,defensive_income
50,EQR,buy,1.483697819709288,59.23281152801514,87.88359331936725,buy,,0.0,0,False,defensive_income
55,KSS,buy,5.905156615665825,13.528914229202272,79.89035736334931,buy,,0.0,0,False,defensive_income
