date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype,archetype_at_entry,archetype_at_exit,decision_source
0,DVN,buy,4.525319355938095,36.15198244628907,163.59926591972615,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
0,GPK,buy,11.013895189314592,14.644801718330385,161.2963111939851,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
0,CVX,buy,0.952912267379979,162.4400039520264,154.79107247913822,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
5,IRT,buy,7.221661896242472,16.662554301452637,120.33133349287162,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
5,BDX,buy,0.7529142332958713,159.1133469177246,119.7987036016986,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
10,GPK,sell,19.514475050745517,12.280876159667969,239.31933462714923,,trailing_stop,-48.65473726991095,10,False,defensive_income,defensive_income,defensive_income,archetype_rule
10,TAK,buy,6.6189671967043155,17.45440230560303,115.53011629886663,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
15,C,buy,0.7472270358120086,121.74511026306153,90.97123786647361,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
15,UBER,buy,1.220820324404907,73.6029,89.85591625514193,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
17,IRT,sell,14.753700226851088,15.749460220336914,232.03750688481114,,trailing_stop,-9.54628069832674,12,False,defensive_income,defensive_income,defensive_income,archetype_rule
20,GPK,buy,8.221250248470072,12.961491538238526,106.55966552928624,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
23,C,sell,0.7472270358120086,110.22857666015625,82.25046051790595,,trailing_stop,-8.720777348567665,8,False,defensive_income,defensive_income,defensive_income,archetype_rule
25,GPK,sell,8.221250248470072,11.875469207763672,97.49452048918076,,trailing_stop,-9.065145040105463,5,False,defensive_income,defensive_income,defensive_income,archetype_rule
29,BDX,sell,1.3230272790915407,173.10447692871094,228.70131438640345,,trailing_stop,6.246127743868698,24,False,defensive_income,defensive_income,defensive_income,archetype_rule
30,IRT,buy,6.123282473278124,16.573450008773804,101.4839159604758,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
38,IRT,sell,11.61421881772085,15.541839599609375,180.25361708346662,,trailing_stop,-8.428651589056813,8,False,defensive_income,defensive_income,defensive_income,archetype_rule
40,ONDS,buy,8.313960011681475,10.845161923599244,90.16624255301465,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
41,DVN,sell,15.575174993127954,48.790000915527344,758.8489242511677,,take_profit,123.14740572515404,41,False,defensive_income,defensive_income,defensive_income,archetype_rule
45,DVN,buy,3.155143140881337,50.48057384719849,159.27343632174214,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
45,C,buy,1.3553768545957898,114.10053457489015,154.64922365981278,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
47,UBER,sell,4.931357818074878,69.18000030517578,340.673723489848,,trailing_stop,-26.935026822294333,32,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule
48,ONDS,sell,8.313960011681475,8.149999618530273,67.66390864438682,,stop_loss,-22.502333908627847,8,False,quality_compounder,quality_compounder,quality_compounder,global_rule
50,DVN,sell,3.155143140881337,48.59000015258789,153.0937739288852,,trailing_stop,-6.179662392856926,5,False,defensive_income,defensive_income,defensive_income,archetype_rule
50,CVX,sell,2.9205061398464314,195.61830139160156,570.5046240501094,,trailing_stop,37.822553023976525,50,False,defensive_income,defensive_income,defensive_income,archetype_rule
50,EXEL,buy,5.312348179792436,44.101656916809084,234.28335684784125,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
50,SNDK,buy,0.3274410847386021,693.6998024414063,227.14581579436805,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
55,TRNO,buy,2.5801243170533326,65.38140691680908,168.69215786921808,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
55,ALLY,buy,4.046250529007355,41.57562633361817,168.22540004621462,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
60,VFC,buy,6.731035978023059,20.148168840408328,135.6180493560716,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
61,TAK,sell,25.93834454911265,17.81999969482422,461.57418214070367,,weak_value,-7.179410656494724,51,False,defensive_income,defensive_income,defensive_income,global_rule
