date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype,archetype_at_entry,archetype_at_exit,decision_source
166,VYX,sell,79.5266394823276,12.350000381469727,980.4876697338077,,trailing_stop,-119.58228946628219,21,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule
170,CG,buy,4.326971704808604,62.266648513141064,269.4260262696241,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
170,IQV,buy,1.352259747151864,192.90937297844826,260.8635799270611,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
175,CTRE,buy,5.965747217844302,33.208497432762385,198.11350116829186,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
180,PNC,buy,0.693112073672604,200.73715008196945,139.13334235644257,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
190,GMAB,buy,2.9792721386108356,28.287523930865405,84.27623191751456,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
191,IQV,sell,1.352259747151864,186.69000244140625,251.9739038455143,,weak_value,-8.88967608154681,21,False,quality_compounder,quality_compounder,quality_compounder,global_rule
194,WWW,sell,48.72345872538143,28.65752410888672,1393.5930140291932,,trailing_stop,167.47574507341824,79,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule
196,CG,sell,13.016722864968337,62.70374298095703,814.8802240358586,,trailing_stop,-10.616280824068099,26,False,defensive_income,defensive_income,defensive_income,archetype_rule
200,GOOGL,buy,1.109170267851295,243.14068328457088,269.68441680429436,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
201,PNC,sell,0.693112073672604,193.6498260498047,134.04232573905819,,weak_value,-5.091016617384383,21,False,defensive_income,defensive_income,defensive_income,global_rule
205,FSLR,buy,0.9268051595544794,228.32713910422243,211.61477058810667,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
208,CTRE,sell,5.965747217844302,32.538944244384766,193.8551613252906,,trailing_stop,-4.2583398430012664,33,False,defensive_income,defensive_income,defensive_income,archetype_rule
212,CFG,sell,23.651445734242614,47.28179931640625,1116.5736518670847,,trailing_stop,-27.573601260512532,77,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule
215,GMAB,sell,32.43934998757429,30.1299991607666,975.6926021447246,,trailing_stop,-22.882657679265662,25,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule
