variant,index_pct,active_pct,max_buys,n_windows,window_days,median_excess,pct_beating,median_sharpe,median_drawdown,robust_score,median_strategy_return,median_benchmark_return
idx0.60_buys6,0.6,0.4,6,40,45,0.009472735978425906,0.75,2.136882619782476,-0.057341002403243746,1.125471351071004,0.06140665213549712,0.057520254535581294
idx0.65_buys5,0.65,0.35,5,40,45,0.010317346427560548,0.675,1.953270994021189,-0.06094603909590224,1.0169079385856143,0.058868629509884585,0.044460461177749155
idx0.70_buys4,0.7,0.30000000000000004,4,40,45,0.007519865216832011,0.7,1.8599816596685226,-0.061551459695876554,0.9888613296022679,0.05251299616837313,0.04416427707746973
idx0.77_buys4,0.77,0.22999999999999998,4,40,45,0.0057889248124161075,0.7,1.702438042532875,-0.06494789609337215,0.9350931739125579,0.05270110638144743,0.04416427707746973
idx0.55_buys6,0.55,0.44999999999999996,6,40,45,0.008712862159280133,0.65,1.8567475277366698,-0.058938031327995744,0.9349780854697904,0.061405437330395496,0.04811286167225359
idx0.50_buys8,0.5,0.5,8,40,45,0.003933022668745845,0.575,1.152351926709412,-0.06211925152947256,0.5410173767222246,0.03337562884202483,0.01561240466840852
