variant,index_pct,active_pct,max_buys,n_windows,window_days,median_excess,pct_beating,median_sharpe,median_drawdown,robust_score,median_strategy_return,median_benchmark_return
neutral_idx60,0.6,0.4,8,40,45,0.009601269564152082,0.725,2.0443917166523713,-0.05718147782152844,1.067494985355574,0.06182532588625789,0.057520254535581294
neutral_idx65,0.65,0.35,8,40,45,0.0074674097536815975,0.725,1.908606467940472,-0.06287576205642798,0.995565653854691,0.05655297847537544,0.044460461177749155
neutral_idx70,0.7,0.30000000000000004,8,40,45,0.009415719298362435,0.675,1.7282120496751259,-0.06275917301009315,0.9139301309486675,0.05101552490784644,0.04416427707746973
neutral_idx55,0.55,0.44999999999999996,8,40,45,0.009455868748232898,0.65,1.790157869497285,-0.06102528686289921,0.8956406725012199,0.05969922979283249,0.04811286167225359
current,0.8465,0.15349999999999997,8,40,45,0.004947955869330833,0.7,1.5542732253925844,-0.06907263682752413,0.8746609794228918,0.049641750923888006,0.04416427707746973
neutral_idx50,0.5,0.5,8,40,45,0.003933022668745845,0.575,1.152351926709412,-0.06211925152947256,0.5410173767222246,0.03337562884202483,0.01561240466840852
